x,y,r,score,angle,arms_ok,arm_mean,weakest_arm,axis_min,pair_value,detectada
1557,1544,132,2.9598984789510125,70,1,0.035516276636062494,0.001117445295676589,0.0012020497233606875,0.005314984358847141,False
1316,1431,128,2.9211989290292237,80,1,0.02706870835606457,0.001717703533358872,0.0022744694142602384,0.008414787240326405,False
1377,1664,126,2.8863412959599537,50,1,0.03260991047515047,0.0007495956961065531,0.0016318501438945532,0.004240451380610466,False
2125,1354,124,2.7839016230891844,60,1,0.027179958959330112,0.0009259841172024608,0.0035031107254326344,0.0024335659109055996,False
1860,1661,122,2.7688565574079065,30,1,0.020057626749140287,0.00111536611802876,0.0025943638756871223,0.007224252913147211,False
2228,909,115,2.658656896764905,50,1,0.02151063427746059,0.0002500329283066094,0.0018418043910060078,0.0029266728088259697,False
2379,1296,114,2.5947184648162325,0,1,0.014027963544702452,0.00041332448017783463,0.0016037211898947135,0.005578917451202869,False
2315,1504,115,2.1091474271649284,60,1,0.015483312170323626,0.000810177531093359,0.0022401391761377454,0.003105199197307229,False
1844,1043,118,0.5779110627224904,30,0,0.017802900785301348,0.0005915033398196101,0.013164080212266185,0.004941173829138279,False
840,676,104,0.4206145866469442,10,0,0.011779183635991147,0.0015078545548021793,0.0017021636595018208,0.0064285374246537685,False
2174,1613,122,0.32115078180329876,10,0,0.0029821993375662714,0.0015245928661897779,0.002908462192863226,0.007548077963292599,False
1984,1460,119,0.29211991128278897,20,0,0.0028122659714426845,0.0019110237481072545,0.002378301986027509,0.006803229916840792,False
1756,1377,127,0.26831079739145935,40,0,0.0031909217359498143,0.001581441843882203,0.002562851062975824,0.0056214104406535625,False
